frequency_hz,real,imag,magnitude_db,phase_rad
422.375115967,0.0113511024229,5.03770311786,14.0446734504,1.56854310088
444.677026308,0.012926964399,5.37255116018,14.603636338,1.56839021859
468.156504137,0.0147715578931,5.73894626016,15.1766719322,1.56822241782
492.875726426,0.016944900748,6.14171152829,15.7658213402,1.56803734704
518.90015316,0.0195247106902,6.5867767568,16.3734970459,1.56783210708
546.298700693,0.0226131009213,7.08151865887,17.0025723602,1.56760308179
575.143924243,0.0263464333861,7.63523449896,17.6564993101,1.56734570209
605.512210031,0.0309101537774,8.25981435764,18.3394665496,1.56705411079
637.483977562,0.0365617093062,8.9707164922,19.0566147722,1.5667206761
671.143892585,0.0436670037211,9.7884181505,19.8143367027,1.56633526747
706.581091303,0.0527603633241,10.7406361288,20.6207048697,1.5658841467
743.889416417,0.0646470855226,11.8658397534,21.4860984867,1.56534821294
783.167665635,0.0805869895397,13.219028175,22.4241519661,1.56470011532
824.519853301,0.102641285624,14.8816796416,23.453245617,1.56389927884
868.05548584,0.134372699563,16.9798684509,24.5989583977,1.56288284413
913.889851749,0.182378903758,19.7196117039,25.8983386464,1.56154798526
962.144326893,0.260020528614,23.4621615551,27.4078937985,1.55971423262
1012.94669593,0.397833162262,28.9041190808,29.2200174259,1.55703330425
1066.4314907,0.678877427179,37.5839908825,31.5014746224,1.55273534941
1122.74034648,1.4009534282,53.7035082197,34.6030076081,1.54471542796
1182.02237706,4.37371342393,94.2645542723,39.4963078113,1.52443129672
1244.43456963,76.9421007392,385.554602326,51.8913205758,1.37382182357
1310.14220047,15.4033963324,-173.88923102,44.8393985633,-1.48244527593
1379.31927266,2.59868649549,-71.0298049582,37.0346216966,-1.53422677746
1452.14897685,1.02553249071,-44.1913105443,32.9090758834,-1.54759383658
1528.82417635,0.543523355652,-31.8041633417,30.0509477101,-1.55370829823
1609.54791792,0.335110873148,-24.6415690521,27.834170289,-1.55719775213
1694.53396942,0.226602620718,-19.951278701,25.9999749093,-1.55943901577
1784.00738588,0.163111510426,-16.6244392905,24.4153581865,-1.56098509203
1878.20510554,0.122866716556,-14.1283176427,23.0021374487,-1.56210006002
1977.37657726,0.0958388023966,-12.1751133326,21.7097293473,-1.56292479243
2081.78442106,0.076887179299,-10.5956587932,20.5027879678,-1.5635399748
2191.70512366,0.0631574066909,-9.28395415803,19.3548607288,-1.56399357536
2307.42977058,0.0529627298098,-8.17015030866,18.244783426,-1.56431395059
2429.264817,0.0452558360966,-7.20629689113,17.1544142894,-1.56451636888
2557.53289931,0.0393600027015,-6.35833145899,16.0670296955,-1.56460610217
2692.5736895,0.0348237055599,-5.60133680519,14.9660016049,-1.56457937214
2834.74479461,0.0313379582635,-4.91660859675,13.8334891591,-1.56442251581
2984.42270379,0.028687315762,-4.28977383554,12.6488821366,-1.56410905394
3142.00378526,0.026719811156,-3.70954386947,11.3866355487,-1.56359346035
3307.90533594,0.0253279877378,-3.16686364053,10.0128650644,-1.56279868288
3482.56668655,0.0244366816199,-2.65431545716,8.47941880556,-1.56159018998
3666.45036497,0.0239950631184,-2.16569011474,6.7124593843,-1.55971714184
3860.04332113,0.023971469522,-1.69567002777,4.58769473092,-1.5566603968
4063.85821648,0.0243501515995,-1.23958815276,1.86722385501,-1.55115510949
4278.43478161,0.0251294108883,-0.793238206626,-2.00757115921,-1.53912739157
4504.34124554,0.0263208304803,-0.352718962128,-9.02730705327,-1.49631170967
4742.17584044,0.0279494580202,0.085700110001,-20.9014022823,1.25554186526
4992.56838587,0.0300549219322,0.525701940697,-5.57103651103,1.5136874623
5256.18195661,0.0326935754925,0.971042478511,-0.250315182788,1.53714050728
5533.71463858,0.0359418898465,1.42567736789,3.08318445052,1.54559127052
5825.90137746,0.0399014805975,1.89390405882,5.54908679874,1.54973106839
6133.51592496,0.0447063865656,2.38053076021,7.53500738983,1.55201852623
6457.37288779,0.0505335763217,2.89108733236,9.22255086365,1.55331901631
6798.32988487,0.0576182271648,3.43209933323,10.7124208137,1.55400986187
7157.28981841,0.0662762603258,4.01145641392,12.0672268791,1.55427608476
7535.20326497,0.0769382165866,4.63892264996,13.32953709,1.55421248417
7933.07099264,0.0902013754165,5.32686384514,14.5306770296,1.55386464651
8351.94661129,0.106912167208,6.09131409414,15.6955575553,1.55324655195
8792.93936265,0.128300709087,6.95358801218,16.8456573778,1.55234741204
9257.21705772,0.156208753974,7.94280088903,18.0011529519,1.55113215274
9746.00916933,0.193493161757,9.09996154206,19.1827542198,1.54953645573
10260.6100879,0.24477811434,10.4849229722,20.4136712443,1.54745484306
10802.3825494,0.31794831063,12.1888338606,21.72219725,1.54471702922
11372.7612435,0.427351499991,14.3579516272,23.1456954353,1.54104101204
11973.2566136,0.601374687202,17.243089852,24.737581175,1.53593418539
12605.4588561,0.902831551869,21.3139139421,26.581049578,1.52846284636
13271.0421317,1.49452751256,27.5647957064,28.8198436491,1.51663065713
13971.7689988,2.91461339929,38.5291720045,31.740575,1.49529320344
14709.4950809,7.90984996672,63.069428431,36.0641560521,1.44603277522
15486.1739809,58.9663015882,162.185038734,44.7393944448,1.22208019594
16303.862454,73.3850408975,-175.742412639,45.5955665361,-1.17523438519
17164.7258546,8.5919221915,-63.4553073856,36.128259243,-1.43621364066
18071.0438704,3.06595653876,-37.1076047759,31.4188053714,-1.48836017168
19025.2165594,1.55141321083,-25.3604727744,28.0993692392,-1.50969800791
20029.7707054,0.931889401815,-18.3927292685,25.3040578903,-1.52017343075
21087.3665095,0.621236492129,-13.331378073,22.5069214673,-1.52423044307
22200.8046347,0.447843766219,-8.6967752644,18.7986662173,-1.51934639035
23373.033622,0.358442602216,-2.39593856308,7.68564309096,-1.42229343894
24607.1576992,0.584980792959,20.6909086104,26.3190612928,1.54253149729
25906.4450009,0.492099037096,-39.6517941037,31.9659257001,-1.55838645264
27274.3362232,0.191316916168,-18.8662496818,25.5141581328,-1.56065597766
28714.453735,0.140861687042,-13.9038224655,22.8631300125,-1.56066552512
30230.6111706,0.112875841147,-11.3678644436,21.1140058849,-1.56086727351
31826.8235287,0.0932197693477,-9.70321645907,19.7387152139,-1.5611895225
33507.3178049,0.0782952091943,-8.46929849854,18.557319938,-1.56155199813
35276.5441849,0.0665348844205,-7.48835187623,17.4880677141,-1.56191144335
37139.1878299,0.0570577415071,-6.67251413962,16.4861076101,-1.56224537439
39100.1812828,0.0493005067287,-5.97213059291,15.5228818648,-1.56254141908
41164.7175311,0.0428765003061,-5.35631842445,14.5776060206,-1.56279165248
43338.2637578,0.0375084013435,-4.80441858761,13.633081466,-1.56298942183
45626.5758201,0.032991407642,-4.30177339431,12.6732060178,-1.5631272197
48035.7134909,0.0291711343932,-3.83744044005,11.6810839138,-1.56319475669
50572.0565067,0.0259295501082,-3.40285460403,10.6371200215,-1.56317653362
53242.3214615,0.023175690231,-2.99098543536,9.51654670492,-1.56304796863
56053.5795936,0.0208394177276,-2.59576303145,8.28558076488,-1.56276825575
59013.2755111,0.0188672682744,-2.21164742247,6.89463392073,-1.56226566752
62129.2469062,0.0172198565691,-1.83326333299,5.26488019948,-1.56140359534
65409.7453107,0.0158706205768,-1.45504095112,3.25802097754,-1.55988942329
68863.4579471,0.0148059538782,-1.07080363344,0.59502694843,-1.55697025265
72499.5307337,0.0140271301247,-0.673225385091,-3.43490535174,-1.54996362929
76327.592504,0.0135550330846,-0.253035125198,-11.9239385692,-1.51727771364
80357.7805056,0.0134399570547,0.202254838594,-13.8628867437,1.50444326846
84600.7672448,0.0137816240973,0.710537470897,-2.96662674484,1.55140270323
89067.788749,0.014771902129,1.29916881898,2.27387320556,1.5594265453
93770.6743212,0.0167935809922,2.01315034271,6.07782639321,1.56245457948
98721.8778657,0.020676677371,2.93343439427,9.3477433605,1.56374781908
103934.510868,0.0284804179136,4.22394211507,12.5145565981,1.56405381339
109422.377115,0.0465235725672,6.27884522405,15.9578339822,1.56338688771
115200.009252,0.102853959657,10.3585222714,20.306384246,1.56086724841
121282.707263,0.489755476914,23.9564342884,27.5902582622,1.55035558596
127686.578989,8.2191531871,-98.7353204522,39.9194419399,-1.48774350933
134428.582788,0.227726337494,-15.6921589357,23.914568497,-1.55628523537
141526.572436,0.0746871471691,-7.89444251227,17.9468180298,-1.56133588435
148999.34441,0.0426543574869,-4.62600401027,13.3044893146,-1.56157602594
156866.687666,0.0338185624436,-2.51306749964,8.00486947956,-1.55734005424
165149.436037,0.0354599535379,-0.661371987899,-3.57861753801,-1.51723186629
173869.523409,0.0499655345701,1.52404240669,3.6646065273,1.5380231939
183050.041805,0.104731791749,5.22658661183,14.3661065169,1.55076073088
192715.302532,0.521487820836,17.1639360514,24.6963449326,1.54042290638
202890.900563,5.1025480578,-66.4009959522,36.4690618378,-1.49410259974
213603.782317,0.198968059967,-14.8746234949,23.449696633,-1.5574207819
224882.317016,0.0650558854429,-9.07644449825,19.1585382342,-1.56362889781
236756.371812,0.0341104780942,-6.72581544019,16.5550106205,-1.56572479518
249257.390876,0.0224073044362,-5.39789315691,14.6445605183,-1.56664523023
262418.478669,0.0169018155953,-4.51508357301,13.0933767258,-1.56705293282
276274.48761,0.0140448884048,-3.8679873461,11.7497581524,-1.56716528423
290862.110363,0.0125568936469,-3.36157331831,10.5309123576,-1.56706092255
306219.977012,0.0118942647712,-2.94599879249,9.38472208303,-1.56675891844
322388.757354,0.0118057863112,-2.59225320348,8.27363847412,-1.56624210166
339411.268599,0.0121769285733,-2.28200626231,7.16646029496,-1.56546031471
357332.588759,0.0129686462783,-2.00282042165,6.03302230783,-1.56432122554
376200.176018,0.0141930954166,-1.74565578873,4.83945934093,-1.56266598244
396063.994407,0.0159069492489,-1.50344232492,3.54222158561,-1.56021636941
416976.64612,0.0182160981518,-1.27017038062,2.07813277641,-1.55645584956
438993.510808,0.0212915082298,-1.04022045331,0.344326871751,-1.55033091915
462172.892235,0.0254007096841,-0.807759886146,-1.85006199258,-1.53936081898
486576.172672,0.0309661329531,-0.566059097034,-4.92978717492,-1.51614602864
512267.975448,0.0386750348651,-0.306539049392,-10.2016971164,-1.44529270009
539316.33608,0.0496972376612,-0.0172232006799,-25.5807653531,-0.333609213839
567792.882444,0.0661483440019,0.320086295208,-9.71303357617,1.36700726602
597773.024449,0.092172001537,0.735517058424,-2.60047303375,1.44613027839
629336.153742,0.136801733361,1.28404037668,2.22059175942,1.46465665211
662565.853941,0.222933454872,2.07916989355,6.40744395852,1.46398207706
697550.121978,0.423507870159,3.40054865007,10.6978239075,1.44689325546
734381.601131,1.08413125668,6.1663736921,15.9328058393,1.39676151886
773157.826352,6.32140573049,15.5621280576,24.5046466214,1.184952752
813981.482554,16.0528191828,-24.3412834313,29.2951654557,-0.987779051141
856960.676537,1.57747268876,-9.68303562452,19.8339892876,-1.40930405507
902209.22327,0.532341882976,-6.02419937914,15.6317680704,-1.48265802647
949846.947287,0.262600943809,-4.45900974964,12.9998049813,-1.51197205942
1000000,0.155237467662,-3.58192733551,11.090485027,-1.5274843415
